,New Code,OPs
572,OP433,Resolution of master data duplicates (In the field - Operational Inputs) | Mitigating and resolving duplicates (deduplication) of Master Data (in the field)
573,OP2404,Resolution of master data duplicates (In the lab) | Mitigating and resolving duplicates (deduplication) of Master Data (in the lab)
574,OP1576,Definition of matching process within Master data | 
575,OP1577,Definition of survivorship process within Master Data | 
576,OP1578,Documentation of created data within master data | 
577,OP1756,Monitoring of Master data management | 
578,OP2133,Definition of golden copy sensitivity to false positive/negative | 
579,OP2134,"Identification of master data identifying attributes | To figure out the identifying attributes, Business Data Stewards need to establish the minimum set of high-quality potential identifying attributes that exist across the source systems, then evaluate those attributes to see if the identified attributes can serve the purpose."
580,OP2135,Mapping of unique identifiers to physical data | 
581,OP2137,Analysis of potential identifying attributes | 
582,OP2138,"Standardization & cleansing of data  | Standardize, parse and cleanse data to arrive at:
- ""best match"" record set
- Set of identifying attributes
- Understanding of data quality issues"
583,OP2139,Compilation of recordset from source systems | 
584,OP2140,Enrichment of records with reliable external sources | 
585,OP2141,"Creation of ""golden copy"" for master data records | "
586,OP2142,Review and approval of golden copy results | 
587,OP2143,Establishment of mechanism to monitor usage of golden copy | 
588,OP1759,Establishment of survivorship business rules | 
589,OP2144,Identification of sources for master data attributes | 
590,OP2145,Assignation of source priorities and conditions | 
591,OP2146,Identification of master records with conflicting attribute values | 
592,OP2147,Application of attribute value conflict resolution rules | 
593,OP2148,Resolution to master record with specified attribute values | 
594,OP2149,Establishment of mechanism to detect & report MDM exceptions | 
595,OP2150,Analysis of root-cause of MDM exception | 
596,OP2151,Resolution of master data exception | 
597,OP2152,Update of MDM data processing documentation | 
598,OP2153,Update of MDM/DQ exception rules | 
599,OP255,Identification / Definition of authoritative data sources for Master data | 
600,OP1571,Identification / Definition of authoritative data sources for Reference data | 
601,OP1572,Identification / Definition of authoritative data sources for Transactional data | 
602,OP1573,Communication of authoritative data sources to relevant Stakeholders | 
603,OP2361,Attestation (with evidence) that authoritative data sources are being used | 
604,OP193,Assessment of data source prior to usage | Capability to assess data sources prior to usage to ensure that they represent fair data sources
605,OP434,Definition of privacy vision and mission statement | 
606,OP435,Definition of enterprise privacy principles and standards | 
607,OP436,"Definition of a privacy policy | A privacy policy is a statement or legal document (in privacy law) that discloses some or all of the ways a party gathers, uses, discloses, and manages a customer or client's data. The exact contents of a certain privacy policy will depend upon the applicable law and may need to address requirements across geographical boundaries and legal jurisdictions. Most countries have their own legislation and guidelines of who is covered, what information can be collected, and what it can be used for. In general, data protection laws in Europe cover the private sector, as well as the public sector."
608,OP437,"Definition of enterprise  codes of conduct to protect privacy | A code of conduct, also known as privacy and code of conduct, is a defined set of rules, principles, values, employee expectations, behaviours, and relationships that a business considers important and believes necessary for its success. Codes of conduct must be distributed to all employees to ensure awareness of the organization's privacy principles."
609,OP438,"Definition of privacy requirements for external contractors, vendors and service providers | "
610,OP439,Approval of enterprise privacy policies and procedures  | 
611,OP440,Communication of enterprise privacy policies | 
612,OP441,Publication of enterprise governance rules to protect privacy | 
613,OP442,Development of a privacy program | 
614,OP2620,Creation of a enterprise privacy accountability matrix (RACI) | 
615,OP443,Identification of a privacy program sponsor or “champion” | 
616,OP444,Allocation of appropriate budget and resources | 
617,OP445,Designation of one or more individuals to be responsible for privacy related obligations | 
618,OP446,Establishment of committee on the protection of personal information | 
619,OP447,Establishment of committee on access to information | 
620,OP448,Establishment of the privacy program reporting structure | 
621,OP449,"Establishment of a review & approval process when designing new initiatives, services or programs using personal data | "
622,OP450,Assistance with building privacy requirements into a project to help reduce risks | 
623,OP451,Assistance with the development of privacy-related processes | 
624,OP452,Development of capabilities to ensure privacy-related processes and privacy requirements are followed | 
625,OP453,Definition of privacy program controls   | 
626,OP454,Definition of privacy program metrics | 
627,OP455,Monitoring and reporting of privacy incidents and data subject requests | 
628,OP456,Periodic review of privacy management guidelines and procedures | 
629,OP457,Demonstration of effective monitoring of privacy requirements | 
630,OP2625,Definition of guidelines to inform stakeholders of PI usage and risks | 
631,OP458,Choice of enterprise privacy risk model | 
632,OP459,"Definition of enterprise privacy risks taxonomy | Definition of privacy risks taxonomy including privacy risks events / scenarios integrated within enterprise risk framework
"
633,OP460,"Definition of privacy risk assessment process | Definition of privacy risks taxonomy including privacy risks events / scenarios integrated within enterprise risk framework
"
634,OP461,"Design of privacy risks reporting template | Establishment of a reporting structure to create privacy risks reports  including the name of the reports to be done, a description of each report, the frequency that reports are to be produced and the recipients for distribution of each report"
635,OP462,Periodic review of privacy risk management guidelines and procedures | 
636,OP463,Definition of enterprise appetite to privacy risks | Ability to draft a Privacy Risk Appetite Statement to reflect the severity and types of privacy risk that the organization is willing to assume
637,OP464,Approval of Privacy Risk Appetite Statement | 
638,OP465,Communication of Privacy Risk Appetite Statement to personnel | 
639,OP466,Periodical audit of compliance to Privacy Risk Appetite | 
640,OP467,Definition of user permissions for privacy risk register | 
641,OP468,Definition of guidelines & procedures for privacy risk register | 
642,OP469,Documentation and categorization of privacy risks in register | 
643,OP470,Periodic review of privacy risks and mitigation | 
644,OP471,Periodic assessment of privacy risks in each business line | 
645,OP472,Identification of privacy risks in projects | Establishmenent of a capability to assess privacy risks within projects / initiatives and products / services launches
646,OP473,Definition of triggering factors leading to reassessment of privacy risks | Definition of triggering factors that could require to re assess privacy risks in a specific business context
647,OP474,Re-assessment of privacy risks based on triggering factors (Triggered) | 
648,OP475,Management of the privacy risks register | 
649,OP476,"Attestation that privacy risks have been identified and scored | Establishment of a capability to review and monitor independantly (2nd line of defense) the various privacy risks identified by the business lines / functions in various contexts (projects, periodic assessment,…)"
650,OP477,Definition of mitigation plan for privacy risks | Establishment of a capability for business sectors to define risk mitigation actions based on identified privacy risks and for the 2nd line of defense to follow up on those mitigation actions
651,OP478,Implementation of privacy risks mitigation strategies (Not specific enough) | The established privacy mitigation plan is implemented
652,OP479,Communication of privacy risks and their mitigation strategies to key stakeholders | Establishment of a process and R&R to report privacy risks to relevant internal stakeholders
653,OP481,Definition of reporting and disclosure guidelines for privacy risks | 
654,OP482,Production of privacy risks reports (Enterprise) | Establishment of a reporting structure to create privacy risks reports
655,OP483,Communication of privacy risks to internal stakeholders (Enterprise) | 
656,OP2362,Production of privacy risks reports | Establishment of a reporting structure to create privacy risks reports
657,OP2363,"Communication of privacy risks to  stakeholders (Project) | Communicating and informing relevant stakeholders of privacy risks, as per the context of the project"
658,OP2052,"Approval of that residual privacy risks are acceptable | Approval of risk level associated with a new project, service, product or initiative"
659,OP484,"Ongoing monitoring of privacy risks (Not specific enough) | Establishment of a capability to review and monitor independantly (2nd line of defense) the various privacy risks identified by the business sectors in various contexts (projects, periodic assessment,…)"
660,OP485,Definition of guidelines to escalate privacy risks  | Establishment of a capability to escalate all identified privacy risks to the Privacy Office
661,OP486,Escalation of privacy risks | 
662,OP487,"Monitoring of internal & external factors impacting privacy risks | Internal and external factors, that could impact privacy risks (such as new strategic direction, change in risk appetite or risk framework, etc.), are periodically reviewed and monitored"
663,OP488,"Monitoring of internal & external factors impacting privacy risks | Internal and external factors, that could impact data quality risks are periodically reviewed and monitored"
664,OP489,Update to the risk register based on ongoing monitoring of privacy risk factors (Triggered) | 
665,OP490,Audit of risk responses implementation and effectiveness | 
666,OP491,"Identification of privacy and data protection laws and regulations | Data protection laws and regulations are increasingly stringent with their requirements and severe with their penalties. In order to accurately reflect regulatory obligations in privacy policies and directives, the organization must first identify it's in-scope laws and regulations. It is important to identify the geographical scope of data storage as well as the individuals for which data is collected as this usually prescribes which laws and regulations apply."
667,OP492,Identification of legal requirements related to personal information  | Definition of …
668,OP2364,"Identification of privacy and data protection laws and regulations applicable to the project | Data protection laws and regulations are increasingly stringent with their requirements and severe with their penalties. In order to accurately reflect regulatory obligations in privacy policies and directives, the organization must first identify it's in-scope laws and regulations. It is important to identify the geographical scope of data storage as well as the individuals for which data is collected as this usually prescribes which laws and regulations apply."
669,OP2365,Identification of legal requirements related to personal information (Project) | Definition of …
670,OP552,Identification of project obligations and requirements related to data subject rights and requests | Organization must identify the rights that apply to their data subjects under the regulations applicable to their context. The situations where data subject requests to exercise their rights must be accepted and when such requests may be denied must be documented in the organization's privacy policy.
671,OP493,Resolution of gaps between enterprise policies and privacy obligations | Capability to review and ensure that gaps between enterprise policies and privacy obligations are resolved
672,OP494,Demonstration that data processing is aligned with privacy regulations | Capability to demonstrate the alignment between data processing and obligations set out by privacy regulations. This may be done through an internal or external audit.
673,OP495,Audit of enterprise policies alignment with privacy obligations | Ensure the privacy policies covers all the subjects prescribed by the laws and regulations it is subjected to
674,OP496,Definition of monitoring activities for compliance to privacy requirements | 
675,OP497,Monitoring for new or amended privacy laws and regulations  | Capability to monitor external regulatory landscape to capture any change in privacy laws that could affect the enterprise
676,OP498,Definition of review trigger based on new or amended privacy laws and regulation | Process to perform periodically an internal gap assessment between enterprise privacy policy and guidelines and applicable privacy laws and regulations
677,OP499,Update of enterprise privacy policies to align with new or amended laws and regulations | Process and responsbilities to review and update existing privacy policy and guidelines based on defined triggers
678,OP500,"Communication of modified enterprise privacy policies to relevant stakeholders | Process, responsibilities and tools definition and enforcement for communicating changes in the enterpise privacy policy and guidelines within the appropriate audience"
679,OP501,Monitoring of internal compliance to privacy requirements  | 
680,OP502,Demonstration of compliance to privacy regulations | 
681,OP2366,Demonstration of compliance (by a project) to privacy regulations | Establishing the ability to formally demonstrate project compliance to privacy regulations 
682,OP2367,Monitoring of project compliance to privacy  laws and regulations | Periodically monitoring and ensuring project alignment and compliance with relevant privacy laws and regulations
683,OP503,Demonstration of compliance to accountability principle (GDPR) | This information management rule defines the processes and responsibilities to demonstrate compliance to the principles relating to the management of personal information set out by law.
684,OP504,Monitoring of vendors and service providers compliance | 
685,OP505,Periodic privacy compliance audit | 
686,OP506,Escalation of non-compliance / violation of privacy policies | 
687,OP507,Identification of remediation plan for non-compliance/violation | 
688,OP508,Monitoring of remediation plans for non-compliance/violation | 
689,OP509,Demonstration of remediation of non-compliance/violation | 
690,OP510,Definition of organizational privacy strategy | 
691,OP511,Identification and engagement of privacy stakeholders and internal partnerships | 
692,OP512,"Providing access to & communicating privacy mission and vision statement, policies, directives and code of conduct | "
693,OP513,"Training of personnel on required practices related to PI collection, use, handling, access, retention and disclosure | Establishment of a training program to ensure that all relevant personnel are propely trained on internal policies & practices related to PI collection, use, access, retention and disclosure"
694,OP515,Attestation that privacy training has been provided | Definition and enforcement of a process for assessing and demonstrating that all employees (and new hires) have underwent training related to understand the privacy requirements set out by internal policies and external regulations
695,OP516,Attestation of personnel understanding and agreement to comply to privacy requirements | Definition and enforcement of a process for allowing personnel to undergo short assessment following training to demonstrate their understanding of privacy requirements Ability to collect attestation from personnel demonstrating that they agree to comply to internal and external privacy requirements
696,OP517,Training of personnel to identify & report non-compliance to privacy policies | 
697,OP518,Training of personnel for management of privacy breach | Definition and enforcement of a process for allowing personnel to undergo short assessment following training to demonstrate their understanding of privacy requirements Ability to collect attestation from personnel demonstrating that they agree to comply to internal and external privacy requirements
698,OP2382,Training of project team for prevention and response to privacy breach | Definition and enforcement of a process for allowing personnel to undergo short assessment following training to demonstrate their understanding of privacy requirements Ability to collect attestation from personnel demonstrating that they agree to comply to internal and external privacy requirements
699,OP519,Attestation of personnel understanding of privacy breach requirements | Ability to demonstrate that all personnel (and new hires) underwent privacy breach management training
700,OP520,Attestation that privacy breach training has been provided | Ability for the Personnel to undergo short assessment following training to demonstrate their understanding of reporting requirements in the event of a privacy breach
701,OP521,Definition of roles & responsibilities for inquiries related to privacy practices | Roles and responsibilities for the handling of data subject inquiries related to the organization's privacy practices are assigned and socialized
702,OP522,Communication of privacy roles & responsibilities to personnel | 
703,OP523,Training of project team on compliance to legal requirements | Personnel involved in the project are informed and trained on the legal and compliance requirements pertaining to the context of the project
704,OP524,Training of project team on data subject rights | Personnel involved in the project are informed and trained on data subject rights pertaining to the context of the project
705,OP525,Monitoring of personnel training on data subject inquiries | 
706,OP526,"Identification of consent obligations and requirements (project) | Identifying and determining the scope of consent obligations and requirements, as per the context of the project"
707,OP527,"Prohibition of mandatory consent for provision of product/service | Organization must include in its corporate policy on consent that it will not require an individual to consent to the collection, use, or disclosure of his/her personal information beyond what is reasonable to provide the product or service to that individual"
708,OP528,"Demonstration that mandatory consent is reasonable | In some cases, the individual's consent to the collection, use or disclosure of his/her personal information is required to provide the product or service. In these cases, the individual shall be informed of why his/her consent is mandatory and an attestation shall be collected to demonstrate that the mandatory consent is reasonable. "
709,OP529,Definition of enterprise consent policy and guidelines  | 
710,OP530,Definition of guidelines and procedures for obtaining and recording consent | 
711,OP531,Selection of consent type appropriate for identified purposes  | 
712,OP532,Definition of consent form and enterprise privacy notice | 
713,OP2395,Definition of consent form specific to intended purposes of project | Establishing and defining of consent form / privacy notice specific to intended purposes and context of the project
714,OP533,"Communication of data collection purposes to data subjects | Data collection purposes must be communicated to data subjects prior to the collection of the information concerning them. Data subjects must be informed in a clear manner the reason why personal information will be used, the legal justification for processing the data and the categories of personal information concerned. This must be done in a concise, transparent, intelligible and easily accessible way, in clear and plain language and free of charge. "
715,OP2397,Design and implementation of mechanisms to collect consent | Design and implement mechanisms to collect and process data subjects consent for any type of usage of their Personal information
716,OP535,"Collection of consent for disclosing personal data to third-party | When required, consent for disclosing personal data to third-party is collected from affected stakeholders and is recorded"
717,OP536,Collection of consent for new processing purposes | Capability to collect and process data subjects consent for any changes for example in the retention of their personal information
718,OP537,Attestation that consent is being collected for each identified purpose | Capability to demonstrate the consent obtained from data subjects for each of the organization's purposes for processing personal information. This capability is enabled by consent management platforms and can also be accomplished by demonstrating the data and time when the data subject accepted the terms & conditions stating the collection purposes.
719,OP538,"Demonstration of express consent for collecting, processing and disclosing sensitive data | Establishing the ability to formally demonstrate that express consent for collecting, processing and disclosing sensitive data has been properly obtained"
720,OP539,Provision of assistance for data subject to understand consent scope | 
721,OP541,"Request of consent from parental / guardian authority for data subjects under age limit | When applicable, consent is collected from the parent or legal guardian of the underage data subject"
722,OP542,Verification of whether child consent is given by holder of parental / guardian responsibility | 
723,OP543,Attestation that consent is not collected from a child  | Establishing the ability to formally certify that consent is not collected from a child 
724,OP544,Attestation that child consent is obtained from a valid representative | Establishing the ability to formally certify that the consent pertaining to a child is obtained from a valid representative
725,OP546,Communication to data subjects of their right to withdraw consent from PI use | Process to ensure the data subject is informed about his or her right to withdraw consent at any time
726,OP547,Design and implementation of mechanisms for withdrawal of consent  | 
727,OP1888,Attestation that consent withdrawal is managed | Establishing the ability to formally certify that consent withdrawal is managed
728,OP549,Audit on consent processes | Implementation of a process that audit periodically the consent collection and usage process and ensure its ongoing compliance to applicable regulations
729,OP550,Monitoring of transparent collection purpose | 
730,OP551,Recording of the legal basis for consent | 
731,OP1883,Approval of Consent strategy (project) | Reviewing and approval of the project's consent management strategy and processes
732,OP1884,Attestation that privacy notice was provided to data subject  | Establishing the ability to formally certify that privacy notice was provided to data subject 
733,OP1885,Attestation that data subject can restrict processing | Establishing the ability to formally certify that data subject can restrict the processing of their information
734,OP1886,Attestation that data subject can opt out from automated decision | Establishing the ability to formally certify that data subject can opt out from automated decision
735,OP1887,Attestation that data subjects are informed of automated decision | Establishing the ability to formally certify that data subjects are informed that are subject to an automated decision
736,OP1889,Attestation that right to be forgotten is managed in context | Establishing the ability to formally certify that  right to be forgotten is managed in context
737,OP1890,"Attestation that data subject is informed of AI usage | Establishing the ability to formally certify that data subject is informed of the usage of AI, or that they are interacting with an AI"
738,OP553,Definition of guidelines & procedures to receive and process data subject requests | Organization must define step-by-step procedures for the processing on data subject requests to exercise their rights. Clear procedures must be defined for each type of request that is available to data subjects and process flows should be mapped to show the end-to-end lifecyle of a data subject request.
739,OP554,Definition of roles & responsibilities for the processing of data subject requests | A clear RACI matrix must be completed to assign the roles and responsibilities for all procedures concerning the processing of data subject requests. Personnel must be made well aware of their roles and responsibilities.
740,OP555,"Definition of communication procedures and messages in response to data subject requests  | Organization must define the messages that will be sent to data subjects in response to requests made. These will serve as pre-defined messages to increase the efficiency of request processing and to ensure compliancy with the transparent communication obligation. The pre-defined messages should cover the receipt of the request, whether the request is accepted / denied, the delay for the processing of the request (when the request can't be processed in 30 days) and there should be pre-defined messages for each type of request made available to data subjects."
741,OP556,Definition of recording procedures of the processing of data subject requests | Organization must have the capability to record the processing of data subject requests to demonstrate compliance with regulatory requirements. Organization must be able to record the reason and provision of law for denying requests.
742,OP557,"Establishment of submission methods for data subject requests | Organization must establish submission methods for data subjects to submit requests related to their rights under applicable regulation. The submission methods should be via the company's website (or application), by mail, and by toll-free telephone number. The submission methods must be easily accessible to data subjects and data subjects must be clearly informed of where and how they can submit their requests."
743,OP2368,Assessment of impacts of data subject requests on developed solution | Evaluating and assessing the impacts of data subjects requests on the project's viability and performance
744,OP2369,Strategy and planning of project activities related to data subject requests | Establishing a strategy as well as project activities and procedures to handle and process data subjects requests
745,OP558,"Definition of identity assurance level requirements for data subject requests | Organization must define the level certainty (or a degree of confidence) that an individual, organization or device is who or what it claims to be for the organization to process a data subject request. In order to define this requirement, it "
746,OP559,Definition of identity verification procedures | Organization must define the procedures to be used to identify a data subject's identity following a request related to personal information processing. The identity verification procedures must be aligned with defined assurance level requirements and it must limit the collection of new personal information to verify a data subject's identity.
747,OP560,Provision of support in preparing a request to the organization | Organization has the capability to provide support to data subjects who request it while preparing their request to exercise their rights provided by the applicable regulation. 
748,OP561,Reception / Detection of data subject request | Organization has the capability to trigger procedures to process data subject requests upon receipt. The date and time of the request receipt is automatically documented and the relevant stakeholders are notified of the receipt.  
749,OP562,Verification of data subject identity upon receiving request | Procedures to verify the data subject's identity are triggered once the request is received. Another option is to integrate identity verification procedures in the submission method to ensure that individuals submitting requests are who they are.
750,OP563,Assessment of legal grounds to accept/deny data subject request | Organization has the capability to assess whether data subject requests are valid and therefore must be processed or whether an exception applies requiring the refusal of the request.
751,OP564,"Assessment of sensitivity of personal information subject to data subject request | Organization has the capability to assess the sensitivity of personal information subject to the request. When assessing sensitivity, it is important to consider the risk and significance of harm if such personal information was subject to unauthorized access."
752,OP565,Review and approval of request refusal  | Organization has the capability to validate each decision concerning data subject requests prior to communication to data subjects. This is even more important when refusing requests as organization must ensure that the refusal is appropriate for the specific situation.
753,OP566,"Recording of enterprise decisions regarding data subject request | Organization has the capability to record the processing of data subject requests as well as all information required by law concerning the request. This should include the personal information subject to the requestm the data subject's identity, the decision concerning the request and the proof of compliancy to the request."
754,OP567,Confirmation that the data subject request was processed successfully | 
755,OP568,Communication of enterprise decision regarding data subject request | Organization has the capability to communicate their decision concerning data subject requests and to include any information required by law such as the reason for refusal. Pre-defined messages should be completed to reflect the type of request made and the data subject's identity.
756,OP569,Operational monitoring of processing of data subject requests | Organization has the capability to monitor the processing of data subject requests to ensure compliancy with regulatory requirements. There should be a dashboard demonstrating the relevant metrics for the processing of requests.
757,OP570,"Tracking data subject request response times | Organization has the capability to track the response time to data subject requests which begins at the receipt of the request. Organization must be able to ensure that requests are processed within 30 days and when it has been more than 30 days, there must be a trigger to send the pre-defined message informing data subjects that a time extension is required to process the request."
758,OP571,Review of identity verification procedures & requirements | Organization has the capability to conduct a periodical audit of the procedures used to verify the identity of data subjects submitting requests and the requirements they have set in terms of identity level assurance.
759,OP572,Review communication procedures and messages to data subject  | 
760,OP573,Periodical review of obligations regarding data subject requests | Organization has the capability to periodically review their obligations in terms of data subject requests to exercise rights made available under applicable privacy regulations.
761,OP574,Definition of Privacy Notice (enterprise) | 
762,OP575,Approval of Privacy Notice | 
763,OP576,Publication of Privacy Notice on website | 
764,OP577,Update of Privacy Notice | 
765,OP2626,Definition of Privacy Notice (project) | 
766,OP578,Communication of Privacy Notice to data subjects | 
767,OP579,Communication of privacy rights to data subjects | 
768,OP580,Communication of request submission methods | 
769,OP581,"Communication of categories of personal information to be collected  | Process, responsibilities and tools definition and enforcement for clearly communicating to data subjects which personal information exactly will be collected and for what purpose"
770,OP582,"Communication of personal information processing purposes  | Process, responsibilities and tools definition and enforcement for clearly communicating to data subjects the reasons you are collecting/handling/using their PI"
771,OP583,Communication of collection methods to data subjects | 
772,OP584,Communication of categories of personal information collected | 
773,OP585,Communication of the sources from which personal information is collected | 
774,OP586,Communication of new personal information processing purposes | 
775,OP587,Communication of categories of personal information collected from third parties | 
776,OP588,Communication of commercial purposes for personal information collection | 
777,OP589,Communication of personal information retention schedule | 
778,OP590,Communication of use of technology for personal information processing | 
779,OP591,Communication of categories of third parties to whom personal information will be disclosed | 
780,OP592,Communication of foreseeable consequences of personal information processing | 
781,OP593,Communication of (automated) decision | 
782,OP599,Communication of the potential consequences of automated processing for data subject | Data subjects are informed of the significance and the envisaged consequences of the automated processing of their data and information
783,OP600,"Definition of project strategy to restrict personal information processing | Establishing and defining methods to restrict processing of personal information, as per the context of the project"
784,OP601,"Implementation of procedures to restrict personal information processing | Implementing the established methods to restrict processing of personal information, as per the context of the project"
785,OP602,Demonstration that PI processing is restricted | Establishing the ability to formally demonstrate that the processing of PI is restricted
786,OP603,Communication of PI restriction / unrestriction to data subjects | 
787,OP604,Establishment of mechanisms to stop PI processing following objection | 
788,OP2372,"Implementation of mechanisms to stop personal information processing following objection | Establishing and implementating processes and mechanisms to limit and stop personal information processing, upon data subjects' requests"
789,OP605,Cessation of personal information processing as requested by data subject | 
790,OP606,Cessation of personal information processing for marketing purposes | 
791,OP607,Definition of positioning regarding AI opt-out option | 
792,OP608,"Establishment of AI opt-out mechanism for data subjects | Enabling the end-user or affected stakeholder to opt-out from using/relying on the AI system, and defining alternate mechanism and processes"
793,OP609,Establishment of procedures to receive & process requests to opt-out | Establishment of a capability for data subjects to request the erasure of their PI of all organization's systems and processsing / answering the requests by the organization
794,OP610,Communication of opt-out option to data subjects concerning the use of AI | Informing the end-user or affected stakeholder of their ability to opt-out from using/relying on the AI system
795,OP612,Monitoring of requests to opt-out from AI usage | 
796,OP613,Establishment of automated decision opt-out mechanism for data subjects | Defining and establishing mechanisms to enable data subjects to opt-out from automated decisions
797,OP614,Definition of procedures to intervene in automated decision-making process | 
798,OP615,"Communication of opt-out option to data subjects concerning decisions based on automated processing | Process, responsibilities and tools definition and enforcement for communicating opt out rights and procedures to data subjects"
799,OP616,"Removal of data subjects from automated decision-making | Capability to collect, process and respond to opt out requests from data subjects"
800,OP617,Attestation that decision is not based solely on automated processing | Definition and enforcement of a process for assessing and demonstrating that decision making is not solely based on automated processing
801,OP618,Monitoring of requests to opt-out from automated decision-making | Capability to monitor and identify requests to opt-out from automated decision-making
802,OP619,Periodic review of opt out processes  | The periodic review of opt-out mechanisms to ensure proper and effective implementation 
803,OP594,Definition of notification message for data subjects following decision based on automated processing | 
804,OP595,Communication of rendered decision based on automated personal information processing | 
805,OP1835,Definition of procedures to process requests concerning automated decisions | Step-by-step procedures are defined to guide personnel through the processing of requests to be informed of decisions based solely on automated decision-making. Defined procedures must cover how to identify personal information used to render automated decision and how to access the reasons and principal factors and parameters that led to the decision.
806,OP596,Communication of personal information used to render decision to data subject | Organization has the capability to communicate the personal information that was processed by an automated-decision system to a data subject who has been subject to a decision based solely on the automated processing of personal information.
807,OP597,"Communication of reasons, principal factors and parameters that led to decision to data subject | Organization has the capability to communicate the reasons and principal factors and parameters that led to a decision taken by an automated system to data subjects who have been subject of a decision based solely on the automated processing of personal information."
808,OP598,Communication of the right to rectification of personal information used to render decision | Organization has the capability to communicate the right to rectification of personal information used in an automated-decision making system to data subjects who have requested additional information concerning automated decisions.
809,OP620,Definition of guidelines to assess and monitor quality of PI | 
810,OP621,Identification of inaccurate personal information | 
811,OP622,Correction or erasure of inaccurate personal information | 
812,OP623,Recording that inaccurate personal information is corrected or erased | 
813,OP624,Definition of procedures and mechanisms to rectify personal information | Establishment of a capability for data subjects to request access to their personal information and/or make a correction request of their PI and processsing / answering the requests by the organization
814,OP2379,Implementation of mechanisms to rectify personal information | Establishment of a capability for data subjects to request access to their personal information and/or make a correction request of their PI and processsing / answering the requests by the organization
815,OP625,"Rectification of personal information as requested by data subject | Process to perform a PI correction after assessment (amending, adding, and deleting Personal In-formation).  Where appropriate, the corrected Personal Information is transmitted to third parties having access to the information in question."
816,OP626,Recording that personal information has been rectified | Definition and enforcement of a process for assessing and demonstrating that correction requests have been processed/answered within the defined timeframe and that data subjects PI have been effectively corrected.
817,OP627,Transmission of rectified personal information to data subjects | 
818,OP628,Communication of rectified PI to third party to which the PI had been disclosed | 
819,OP629,Definition of formats to provide personal information to data subjects | 
820,OP630,Establishment of enterprise procedures to retrieve and transfer personal information  | 
821,OP631,Communication of personal information existence to data subject | 
822,OP632,Communication of the cost for access to personal information  | 
823,OP633,Transmission of personal information copy to data subject | 
824,OP634,Transmission of personal information in alternative format to data subject | 
825,OP1821,Definition of roles & responsibilities for data portability requests | A clear RACI matrix is completed to demonstrate the different roles & responsibilities involved in the processing of data portability requests. 
826,OP635,"Establishment of interoperable formats for data portability | Organization must define the formats to be used to comply to the right to data portability. The format must allow personal information to be transferred in a structured, commonly-used, and machine readable manner. The most common and easiest formats to be used are CSV, XML, and JSON. "
827,OP1819,"Identification of portable data scope | Organization must define the types of data and level of detail they must make portable based on the regulatory requirements. 
Generally, portable data is the personal information collected from the data subject which can be simple to identify (eg. mailing address, username, age, etc.). However, it also means that data collected as a result from observing an individual's activities (eg. where using a device or service). This may include:
- History of website usage or search activities
- Traffic and location data
- 'Raw' data processed by connected objects such as smart meters and wearable devices"
828,OP1820,Establishment of procedures to extract portable data from systems | Organization must define step-by-step procedures to extract the personal information (which is in-scope for data portability) from their systems and transform such personal information in one of the defined interoperable formats. Data flow diagrams should be defined to demonstrate the flow of data throughout the organization once a data portability request is received
829,OP2570,Design and implementation of mechanisms to locate and retrieve personal information from systems | Project must design mechanisms to extract the personal information (which is in-scope for data portability) from their systems and transform such personal information in one of the defined interoperable formats. Data flow diagrams should be defined to demonstrate the flow of data throughout the organization once a data portability request is received
830,OP636,"Establishment of procedures to transfer portable data to data subjects | Organization must define how they will provide personal information to data subject in a way where they can use it and/or store it for further personal use. There are two options available to organizations:
- Directly transmitting the requested data to data subjects; or
- Providing access to an automated tool that allows the data subject to extract the requested data themselves
Appropriate safeguards are to be implemented regardless of the method chosen by the organization."
831,OP1822,Training of personnel for data portability request processing | Organization trains personnel responsible for the processing of data portability requests. The training offered to personnel is specific for the tasks they are responsible for within the portability process. 
832,OP1823,Testing of data portability process | Organization tests the processing of data portability requests to ensure they are capable of processing the request within 30 days. The testing is aimed to identify the steps that could be optimized (or automated) and to ensure continual improvement with the processing of such requests. Modifications should be brought to the process based on the results of testing
833,OP1824,Extraction of portable data concerning specific data subject | Organization has the capability to extract all the in-scope personal information concerning a data subject from systems and databases once a request for data portability is submitted by such individual
834,OP1825,Formatting of personal information for data portability | Organization has the capability to format extracted personal information in the interoperable format they have chosen to use to process data portability requests
