,New Code,OP,Description,Concatenated
812,OP1535,Identify Cloud stakeholder audience,,Identify Cloud stakeholder audience 
813,OP1536,Assess the information needs of different cloud stakeholders,,Assess the information needs of different cloud stakeholders 
814,OP1537,Identify analytics stakeholders,,Identify analytics stakeholders 
815,OP1538,Define stakeholder explanation strategy,,Define stakeholder explanation strategy 
816,OP1539,Identify features that have the greatest impact on stakeholders,,Identify features that have the greatest impact on stakeholders 
817,OP1540,Identify most effective measures in building trust with stakeholders,,Identify most effective measures in building trust with stakeholders 
818,OP1541,Develop communication policy regarding Cloud use disclosure,,Develop communication policy regarding Cloud use disclosure 
819,OP1542,"Adjust the communication strategy based on the audience, purpose & context",,"Adjust the communication strategy based on the audience, purpose & context "
820,OP1543,Communicate the use of Cloud in products &/or services to stakeholders,,Communicate the use of Cloud in products &/or services to stakeholders 
821,OP1545,"Monitor changes in external laws, policies, and guidelines",Capability to monitor external regulatory landscape to capture any change in ethic laws that could affect the enterprise,"Monitor changes in external laws, policies, and guidelines Capability to monitor external regulatory landscape to capture any change in ethic laws that could affect the enterprise"
822,OP1546,Trigger review of alignment between ethical operating procedures and amended laws and regulations,Process to perform periodically an internal gap assessment between enterprise ethic/fairness policy and guidelines and applicable laws and regulations,Trigger review of alignment between ethical operating procedures and amended laws and regulations Process to perform periodically an internal gap assessment between enterprise ethic/fairness policy and guidelines and applicable laws and regulations
823,OP1547,Update ethic/fairness policies to align with modified laws or regulations,Process and responsibilities to review and update existing ethic/fairness policy and guidelines based on defined triggers,Update ethic/fairness policies to align with modified laws or regulations Process and responsibilities to review and update existing ethic/fairness policy and guidelines based on defined triggers
824,OP1548,Communicate modification of ethic/fairness policies to relevant stakeholders,"Process, responsibilities and tools definition and enforcement for communicating changes in the enterprise ethic/fairness policy and guidelines within the appropriate audience","Communicate modification of ethic/fairness policies to relevant stakeholders Process, responsibilities and tools definition and enforcement for communicating changes in the enterprise ethic/fairness policy and guidelines within the appropriate audience"
825,OP1549,Map Cloud Operating Practices to analytics processes,,Map Cloud Operating Practices to analytics processes 
826,OP2847,Document business context of the project ,"Document the business context of the project, including business objectives, product description, value and metrics","Document business context of the project  Document the business context of the project, including business objectives, product description, value and metrics"
827,OP2848,Document functional requirements,…,Document functional requirements …
828,OP2862,Assess need for metric assurance,"Confirm the need for assurance support to ensure the accuracy of the metric. Consult with users, senior management, and business process owners to assess the requirements for assurance. Factors such as the nature of the metric, its significance in external reporting or strategic goal achievement, and the associated risks will be considered. 
During the development of the metric, engage with assurance providers to ensure that appropriate controls are incorporated into the process to facilitate assurance activities. Assurance providers may include Internal Audit, external auditors, Internal Controls Office, Safety and Quality, among others.","Assess need for metric assurance Confirm the need for assurance support to ensure the accuracy of the metric. Consult with users, senior management, and business process owners to assess the requirements for assurance. Factors such as the nature of the metric, its significance in external reporting or strategic goal achievement, and the associated risks will be considered. 
During the development of the metric, engage with assurance providers to ensure that appropriate controls are incorporated into the process to facilitate assurance activities. Assurance providers may include Internal Audit, external auditors, Internal Controls Office, Safety and Quality, among others."
829,OP2863,Establish collaboration with assurance providers,"Establish a collaborative relationship with assurance providers to facilitate their involvement in supporting the accuracy of the metric. During the development and implementation of the metric, engage with the identified assurance providers to understand their specific requirements and ensure that adequate controls and processes are in place to enable assurance activities. Depending on the nature of the metric, assurance providers can include Internal Audit, external auditors, Internal Controls Office, Safety and Quality, and other relevant departments or teams.","Establish collaboration with assurance providers Establish a collaborative relationship with assurance providers to facilitate their involvement in supporting the accuracy of the metric. During the development and implementation of the metric, engage with the identified assurance providers to understand their specific requirements and ensure that adequate controls and processes are in place to enable assurance activities. Depending on the nature of the metric, assurance providers can include Internal Audit, external auditors, Internal Controls Office, Safety and Quality, and other relevant departments or teams."
830,OP2864,Assess reliability of assurance providers,"Assess the reliability of assurance providers to determine if their assurance can be relied upon to support the accuracy of the metric being developed. Review whether the metrics or any of the supporting data are already subject to assurance provided by other assurance providers and if their assurance meets the requirements to support the specific metric. Evaluate the reports from these providers to ensure that their scope includes the relevant metrics, data sources, calculations, and activities in place to mitigate errors. The assurance review should cover all components of the metric calculation, including the data structure, tables, and data sets used.","Assess reliability of assurance providers Assess the reliability of assurance providers to determine if their assurance can be relied upon to support the accuracy of the metric being developed. Review whether the metrics or any of the supporting data are already subject to assurance provided by other assurance providers and if their assurance meets the requirements to support the specific metric. Evaluate the reports from these providers to ensure that their scope includes the relevant metrics, data sources, calculations, and activities in place to mitigate errors. The assurance review should cover all components of the metric calculation, including the data structure, tables, and data sets used."
831,OP2857,Define expected outcomes for metric formulas and computations,"Establish a process to define expected outcomes for formulas and computations used in data analysis and reporting. Based on established benchmarks, historical data, or known values, identify the expected results that should be generated by the formulas and computations. Document these expected outcomes as a reference for verifying the correctness of calculated results.","Define expected outcomes for metric formulas and computations Establish a process to define expected outcomes for formulas and computations used in data analysis and reporting. Based on established benchmarks, historical data, or known values, identify the expected results that should be generated by the formulas and computations. Document these expected outcomes as a reference for verifying the correctness of calculated results."
832,OP2853,Validate input data for metric calculation,"Implement a process for independent validation of data to ensure there are no errors while inputting (adding) data. This can include peer-to-peer reviews or supervisory reviews where a second person validates the accuracy of the data input. Additionally, utilizing functions like VLOOKUP instead of manual entry and performing true/false verifications against the source files can help minimize input errors.","Validate input data for metric calculation Implement a process for independent validation of data to ensure there are no errors while inputting (adding) data. This can include peer-to-peer reviews or supervisory reviews where a second person validates the accuracy of the data input. Additionally, utilizing functions like VLOOKUP instead of manual entry and performing true/false verifications against the source files can help minimize input errors."
833,OP2854,Validate metric formulas and computations,"Establish a process to ensure the accuracy of formulas and computations used in data analysis. This includes defining expected outcomes and using them as a basis for comparison. Data owners should independently validate the data to ensure it is understood and interpreted correctly. Calculation results should be subject to review by subject matter experts (SMEs) through peer or supervisory review. Final results should be approved by the Executive Management Committee (EMC) or a designated responsible individual for the specific performance area. All reviews and validations should be documented, and spreadsheet calculations should incorporate validation checks.","Validate metric formulas and computations Establish a process to ensure the accuracy of formulas and computations used in data analysis. This includes defining expected outcomes and using them as a basis for comparison. Data owners should independently validate the data to ensure it is understood and interpreted correctly. Calculation results should be subject to review by subject matter experts (SMEs) through peer or supervisory review. Final results should be approved by the Executive Management Committee (EMC) or a designated responsible individual for the specific performance area. All reviews and validations should be documented, and spreadsheet calculations should incorporate validation checks."
834,OP2855,Classify metric information,"Classify metric information based on enterprise classification standards. Implement a system that categorizes metric information into appropriate security levels, ensuring that the level of protection aligns with the sensitivity and confidentiality requirements of the data. This classification process helps determine the appropriate security controls and access permissions for the data.","Classify metric information Classify metric information based on enterprise classification standards. Implement a system that categorizes metric information into appropriate security levels, ensuring that the level of protection aligns with the sensitivity and confidentiality requirements of the data. This classification process helps determine the appropriate security controls and access permissions for the data."
835,OP2856,Implement data protection methods for metric information,"Employ NAV CANADA-approved applications, software, and computer controls to safeguard data during processing and analytics activities. Verify that the applications and software used meet the organization's security and compliance requirements. Adhere to computer controls, as outlined in Appendix A, to establish secure configurations, prevent unauthorized software installations, and mitigate potential vulnerabilities.","Implement data protection methods for metric information Employ NAV CANADA-approved applications, software, and computer controls to safeguard data during processing and analytics activities. Verify that the applications and software used meet the organization's security and compliance requirements. Adhere to computer controls, as outlined in Appendix A, to establish secure configurations, prevent unauthorized software installations, and mitigate potential vulnerabilities."
836,OP2774,Designate business process owner for metric,"Identify and assign a designated Business Process Owner (BPO) for each metric within the organization. The BPO is responsible for overseeing and managing the specific business process associated with the metric, ensuring its accuracy, relevance, and effective performance measurement. ","Designate business process owner for metric Identify and assign a designated Business Process Owner (BPO) for each metric within the organization. The BPO is responsible for overseeing and managing the specific business process associated with the metric, ensuring its accuracy, relevance, and effective performance measurement. "
837,OP2775,Identify all stakeholder groups involved in metric calculation,"Identify and document all stakeholder groups that are involved in the calculation of metrics within the organization. This practice involves conducting a thorough analysis of the metric calculation process to identify the various individuals, teams, or departments that contribute to the collection, processing, and interpretation of data for metric calculation purposes.","Identify all stakeholder groups involved in metric calculation Identify and document all stakeholder groups that are involved in the calculation of metrics within the organization. This practice involves conducting a thorough analysis of the metric calculation process to identify the various individuals, teams, or departments that contribute to the collection, processing, and interpretation of data for metric calculation purposes."
838,OP2776,Define roles and responsibilities for metric calculation,"Define and document the roles and responsibilities of all groups involved in the calculation of metrics within the organization. This practice entails a comprehensive analysis of the metric calculation process to identify the specific tasks, activities, and contributions required from each group. Responsibilities should be clearly defined, outlining the specific actions, deliverables, and accountability of each group in the metric calculation process.","Define roles and responsibilities for metric calculation Define and document the roles and responsibilities of all groups involved in the calculation of metrics within the organization. This practice entails a comprehensive analysis of the metric calculation process to identify the specific tasks, activities, and contributions required from each group. Responsibilities should be clearly defined, outlining the specific actions, deliverables, and accountability of each group in the metric calculation process."
839,OP2782,Determine data requirements for metric calculation,"The reporting timeline for metrics is determined, specifying the number of years to be included in the metric report. This involves considering the relevant time period and aligning it with organizational requirements, stakeholder expectations, and reporting guidelines. The determined timeline is documented to provide clarity and guidance for metric reporting activities.","Determine data requirements for metric calculation The reporting timeline for metrics is determined, specifying the number of years to be included in the metric report. This involves considering the relevant time period and aligning it with organizational requirements, stakeholder expectations, and reporting guidelines. The determined timeline is documented to provide clarity and guidance for metric reporting activities."
840,OP2777,Define step-by-step metric calculation process,"Define a detailed, step-by-step process for calculating each metric, ensuring clarity and consistency in the calculation methodology. This operating practice involves breaking down the metric calculation into individual steps, documenting the specific actions, calculations, and transformations required at each stage. The process should consider dependencies, data requirements, formulae, and any relevant business rules or guidelines for accurate and consistent metric calculation.","Define step-by-step metric calculation process Define a detailed, step-by-step process for calculating each metric, ensuring clarity and consistency in the calculation methodology. This operating practice involves breaking down the metric calculation into individual steps, documenting the specific actions, calculations, and transformations required at each stage. The process should consider dependencies, data requirements, formulae, and any relevant business rules or guidelines for accurate and consistent metric calculation."
841,OP2778,Assign ownership for each substep of metric calculation,"Identify and assign ownership for each substep or component of the metric calculation process. This practice involves breaking down the metric calculation process into its constituent parts or substeps and determining the individuals or teams responsible for performing each specific task. Ownership should be clearly defined, outlining the accountable parties for each substep of the metric calculation.","Assign ownership for each substep of metric calculation Identify and assign ownership for each substep or component of the metric calculation process. This practice involves breaking down the metric calculation process into its constituent parts or substeps and determining the individuals or teams responsible for performing each specific task. Ownership should be clearly defined, outlining the accountable parties for each substep of the metric calculation."
842,OP2779,Define data source and provider for metrics,Determine the data source(s) and provider(s) for each metric. This operating practice involves identifying the relevant data sources required for calculating each metric and determining the responsible data provider(s) who will supply the necessary data inputs for the calculation.,Define data source and provider for metrics Determine the data source(s) and provider(s) for each metric. This operating practice involves identifying the relevant data sources required for calculating each metric and determining the responsible data provider(s) who will supply the necessary data inputs for the calculation.
843,OP2780,Determine error threshold for metrics,"Establish a reasonable error threshold or materiality level for each metric. This practice involves defining the acceptable margin of error or deviation from the desired metric value, considering the significance and impact of potential errors on decision-making or reporting processes.","Determine error threshold for metrics Establish a reasonable error threshold or materiality level for each metric. This practice involves defining the acceptable margin of error or deviation from the desired metric value, considering the significance and impact of potential errors on decision-making or reporting processes."
844,OP2781,Obtain approval for metric calculation process,"The metric calculation process is submitted to the appropriate stakeholders and committees for review and approval. This involves presenting the step-by-step calculation process, ownership assignments for each substep, designated data sources and providers, and the determined error threshold for the metrics. The reviewer evaluates the calculation methodology, ensures alignment with organizational goals and standards, and provides documented approval.","Obtain approval for metric calculation process The metric calculation process is submitted to the appropriate stakeholders and committees for review and approval. This involves presenting the step-by-step calculation process, ownership assignments for each substep, designated data sources and providers, and the determined error threshold for the metrics. The reviewer evaluates the calculation methodology, ensures alignment with organizational goals and standards, and provides documented approval."
845,OP2860,Determine report layout for metrics,"Establish a process to determine the report layouts for each metric in advance. This process involves identifying the specific components, structure, and presentation format of the reports. The report layouts are then reviewed and approved by the EMC (Executive Management Committee) responsible for the report. Additionally, the author of the report is clearly identified, ensuring accountability and clarity in reporting responsibilities.","Determine report layout for metrics Establish a process to determine the report layouts for each metric in advance. This process involves identifying the specific components, structure, and presentation format of the reports. The report layouts are then reviewed and approved by the EMC (Executive Management Committee) responsible for the report. Additionally, the author of the report is clearly identified, ensuring accountability and clarity in reporting responsibilities."
846,OP2861,Establish process for continuous improvement and feedback incorporation,"Define a process to improve reporting practices and incorporate feedback received from stakeholders. This includes soliciting feedback, suggestions, and recommendations from report users and stakeholders, and implementing a systematic approach to incorporate improvements into the reporting process. ","Establish process for continuous improvement and feedback incorporation Define a process to improve reporting practices and incorporate feedback received from stakeholders. This includes soliciting feedback, suggestions, and recommendations from report users and stakeholders, and implementing a systematic approach to incorporate improvements into the reporting process. "
847,OP2858,Define reporting information and layout for each metric audience,"Establish a process to define the information and layout that will be reported to each audience. Identify the specific reporting requirements for different stakeholders, including the Board of Directors, Board Committees, EMC (Executive Management Committee) for their respective performance areas, ERM (Enterprise Risk Management) monitoring, and financial costing and performance. This process ensures that the reporting content and format align with the needs and expectations of each audience.","Define reporting information and layout for each metric audience Establish a process to define the information and layout that will be reported to each audience. Identify the specific reporting requirements for different stakeholders, including the Board of Directors, Board Committees, EMC (Executive Management Committee) for their respective performance areas, ERM (Enterprise Risk Management) monitoring, and financial costing and performance. This process ensures that the reporting content and format align with the needs and expectations of each audience."
848,OP2859,Validate relevance of metric for intended audience,"Conduct a thorough assessment to determine whether the metric aligns with the information needs and priorities of the specific audience it is intended to report to. Consider the strategic objectives, performance areas, risk management concerns, and other factors that are relevant to the audience. This process ensures that the metric is meaningful, impactful, and valuable for the intended recipients.","Validate relevance of metric for intended audience Conduct a thorough assessment to determine whether the metric aligns with the information needs and priorities of the specific audience it is intended to report to. Consider the strategic objectives, performance areas, risk management concerns, and other factors that are relevant to the audience. This process ensures that the metric is meaningful, impactful, and valuable for the intended recipients."
849,OP2783,Define review process for metric calculation,"A structured review process is established to evaluate the calculation components and outputs/results of metrics. This process ensures that the accuracy, integrity, and validity of the metrics are assessed and verified. It involves defining clear steps and criteria for reviewing the calculation components, such as data inputs, formulas, and calculations. The review process also includes assessing the accuracy and reliability of the metric outputs/results.","Define review process for metric calculation A structured review process is established to evaluate the calculation components and outputs/results of metrics. This process ensures that the accuracy, integrity, and validity of the metrics are assessed and verified. It involves defining clear steps and criteria for reviewing the calculation components, such as data inputs, formulas, and calculations. The review process also includes assessing the accuracy and reliability of the metric outputs/results."
850,OP2784,Identify reviewers for metric calculations," The process of identifying suitable reviewers for metric calculations is established to ensure accurate and reliable assessment of the metrics. Reviewers are individuals who possess the necessary understanding of the calculation complexity, knowledge about the data, and the ability to identify errors. Additionally, reviewers validate that the calculated totals align with previous reporting for multiple years, ensuring consistency in the reported metrics.","Identify reviewers for metric calculations  The process of identifying suitable reviewers for metric calculations is established to ensure accurate and reliable assessment of the metrics. Reviewers are individuals who possess the necessary understanding of the calculation complexity, knowledge about the data, and the ability to identify errors. Additionally, reviewers validate that the calculated totals align with previous reporting for multiple years, ensuring consistency in the reported metrics."
851,OP2785,Review calculation results for each metric,"A systematic process is implemented to review the results of metric calculations. This practice involves conducting a comprehensive examination of the calculated metrics to ensure their accuracy, integrity, and alignment with the defined calculation methodology. The review process follows predefined steps and guidelines, including the verification of calculation inputs, formulas, and any data transformations or adjustments performed. It aims to identify any anomalies, errors, or inconsistencies in the calculation results and validate their compliance with established standards and expectations.","Review calculation results for each metric A systematic process is implemented to review the results of metric calculations. This practice involves conducting a comprehensive examination of the calculated metrics to ensure their accuracy, integrity, and alignment with the defined calculation methodology. The review process follows predefined steps and guidelines, including the verification of calculation inputs, formulas, and any data transformations or adjustments performed. It aims to identify any anomalies, errors, or inconsistencies in the calculation results and validate their compliance with established standards and expectations."
852,OP2786,Obtain approval for final results of metric calculations,"A formal process is implemented to obtain review and approval of the final results of metric calculations. This practice involves submitting the calculated metrics to the relevant stakeholders or committees responsible for overseeing the accuracy, validity, and appropriateness of the reported data. The approval process ensures that the calculated metrics align with the defined calculation methodology, meet the required quality standards, and are consistent with the overall objectives and expectations of the metric reporting.","Obtain approval for final results of metric calculations A formal process is implemented to obtain review and approval of the final results of metric calculations. This practice involves submitting the calculated metrics to the relevant stakeholders or committees responsible for overseeing the accuracy, validity, and appropriateness of the reported data. The approval process ensures that the calculated metrics align with the defined calculation methodology, meet the required quality standards, and are consistent with the overall objectives and expectations of the metric reporting."
853,OP2755,Define the list of metrics relevant for a context or objective,Defining the specific metrics that will be used to measure and evaluate performance within a designated area. This involves identifying key performance indicators (KPIs) or other relevant metrics that align with the objectives and goals of the performance area.,Define the list of metrics relevant for a context or objective Defining the specific metrics that will be used to measure and evaluate performance within a designated area. This involves identifying key performance indicators (KPIs) or other relevant metrics that align with the objectives and goals of the performance area.
854,OP2756,Validate the appropriateness of metrics for a context or objective,"Conducting a comprehensive evaluation to determine the suitability and relevance of a metric for a specific performance area. This involves assessing whether the chosen metric effectively captures the desired performance aspects, aligns with the objectives and goals of the performance area, and provides meaningful insights for decision-making. ","Validate the appropriateness of metrics for a context or objective Conducting a comprehensive evaluation to determine the suitability and relevance of a metric for a specific performance area. This involves assessing whether the chosen metric effectively captures the desired performance aspects, aligns with the objectives and goals of the performance area, and provides meaningful insights for decision-making. "
855,OP2757,Obtain approval for metric usage,"Seeking the necessary approval from relevant stakeholders or decision-makers to use a specific metric for measuring performance within a designated area. This involves presenting the rationale behind selecting the metric, demonstrating its alignment with organizational objectives, and highlighting its relevance and benefits. The approval process may require obtaining consensus from key stakeholders, such as management or performance oversight committees.","Obtain approval for metric usage Seeking the necessary approval from relevant stakeholders or decision-makers to use a specific metric for measuring performance within a designated area. This involves presenting the rationale behind selecting the metric, demonstrating its alignment with organizational objectives, and highlighting its relevance and benefits. The approval process may require obtaining consensus from key stakeholders, such as management or performance oversight committees."
856,OP2758,Establish process and triggers to update metrics,"Developing a structured process and defining triggers for updating metrics used to measure performance. This involves establishing guidelines, procedures, and timelines for reviewing and revising metrics to ensure they remain relevant and aligned with evolving business needs and objectives. The process may include regular assessments, data analysis, feedback from stakeholders, or changes in industry standards. Triggers for updating metrics could be predetermined milestones, significant changes in business environment, or feedback indicating the need for adjustment.","Establish process and triggers to update metrics Developing a structured process and defining triggers for updating metrics used to measure performance. This involves establishing guidelines, procedures, and timelines for reviewing and revising metrics to ensure they remain relevant and aligned with evolving business needs and objectives. The process may include regular assessments, data analysis, feedback from stakeholders, or changes in industry standards. Triggers for updating metrics could be predetermined milestones, significant changes in business environment, or feedback indicating the need for adjustment."
857,OP2759,Approve request to update metrics,"Evaluating and granting approval for requests to modify or update metrics used for measuring performance within a designated area. This involves reviewing the proposed changes, assessing their rationale, and considering their potential impact on performance measurement and reporting. The approval process may involve consultation with relevant stakeholders, such as subject matter experts, data analysts, or performance oversight committees.","Approve request to update metrics Evaluating and granting approval for requests to modify or update metrics used for measuring performance within a designated area. This involves reviewing the proposed changes, assessing their rationale, and considering their potential impact on performance measurement and reporting. The approval process may involve consultation with relevant stakeholders, such as subject matter experts, data analysts, or performance oversight committees."
858,OP2762,Establish process document for developed metrics,"Creating a comprehensive process document or ""How to"" guide for each developed metric. The document includes essential information such as metric definition, measurement criteria, terms and definitions, assumptions, baselines, roles and responsibilities, data sources, calculation methods, reporting audience, reporting layout, review and approval process, and change management process.","Establish process document for developed metrics Creating a comprehensive process document or ""How to"" guide for each developed metric. The document includes essential information such as metric definition, measurement criteria, terms and definitions, assumptions, baselines, roles and responsibilities, data sources, calculation methods, reporting audience, reporting layout, review and approval process, and change management process."
859,OP9,Define business glossary management processes,"Definition of processes to manage the usage of the organization's business glossary. This includes processes to add, modify or remove business terms from the business glossary along with the different roles & responsibilities involved in processes. As a best practice, business glossary management processes should reflect the capabilities integrated within the organization's chosen business glossary tool (eg., Collibra, Informatica, Alation)","Define business glossary management processes Definition of processes to manage the usage of the organization's business glossary. This includes processes to add, modify or remove business terms from the business glossary along with the different roles & responsibilities involved in processes. As a best practice, business glossary management processes should reflect the capabilities integrated within the organization's chosen business glossary tool (eg., Collibra, Informatica, Alation)"
860,OP1,Define guidelines and procedures to manage the business glossary,"Establishing guidelines, processes and procedures to manage the business glossary and maintain its accuracy, consistency, and integrity","Define guidelines and procedures to manage the business glossary Establishing guidelines, processes and procedures to manage the business glossary and maintain its accuracy, consistency, and integrity"
861,OP2,Define guidelines and procedures to use the business glossary in a corporate setting,,Define guidelines and procedures to use the business glossary in a corporate setting 
862,OP3,Conduct periodic assessment of the corporate alignment on the business glossary,,Conduct periodic assessment of the corporate alignment on the business glossary 
863,OP4,Define the role structure for managing the business glossary,"Definition of a formal role structure for the management of the business glossary. This includes the roles and responsibilities for the addition, modification and removal of business terms as well as the roles responsible for providing, modifying or removing access permissions for the use of the business glossary. ","Define the role structure for managing the business glossary Definition of a formal role structure for the management of the business glossary. This includes the roles and responsibilities for the addition, modification and removal of business terms as well as the roles responsible for providing, modifying or removing access permissions for the use of the business glossary. "
864,OP5,Manage a corporate list of business glossary stakeholders,"Management of a corporate list of stakeholders involved with the business glossary stakeholders. This list must include stakeholder roles and responsibilities as well as their access permissions (eg., read, write, modify, approve, etc.). The stakeholder list should be automatically updated when changes are made to access permissions and when new stakeholders are provided access to the business glossary. ","Manage a corporate list of business glossary stakeholders Management of a corporate list of stakeholders involved with the business glossary stakeholders. This list must include stakeholder roles and responsibilities as well as their access permissions (eg., read, write, modify, approve, etc.). The stakeholder list should be automatically updated when changes are made to access permissions and when new stakeholders are provided access to the business glossary. "
865,OP6,Assign business glossary roles,"Assignment of business glossary roles and responsibilities to stakeholders with relevant experience and data governance knowledge to properly execute the assigned responsibilities. When assigning roles, it is crucial to clearly lay out the responsibilities associated with each role and the required collaboration between roles to ensure the successful implementation and usage of the business glossary. ","Assign business glossary roles Assignment of business glossary roles and responsibilities to stakeholders with relevant experience and data governance knowledge to properly execute the assigned responsibilities. When assigning roles, it is crucial to clearly lay out the responsibilities associated with each role and the required collaboration between roles to ensure the successful implementation and usage of the business glossary. "
866,OP2753,Designate data owner for data sources ,"Designating a data owner within the project team who is responsible for overseeing and managing the data sources used in the project. This involves assigning clear ownership and accountability for each data source, ensuring that the data owner understands their responsibilities in terms of data quality, access control, and compliance. ","Designate data owner for data sources  Designating a data owner within the project team who is responsible for overseeing and managing the data sources used in the project. This involves assigning clear ownership and accountability for each data source, ensuring that the data owner understands their responsibilities in terms of data quality, access control, and compliance. "
867,OP74,Define data owner responsibilities,,Define data owner responsibilities 
868,OP75,Designate business data element owner,,Designate business data element owner 
869,OP2375,Create a Data RACI for the project,Definition of the roles and responsibilities related to all the data user by the project,Create a Data RACI for the project Definition of the roles and responsibilities related to all the data user by the project
870,OP2376,Review and approve the Data RACI for the project,Definition of the roles and responsibilities related to all the data user by the project,Review and approve the Data RACI for the project Definition of the roles and responsibilities related to all the data user by the project
871,OP1892,Attest ownership for all AI data elements ,Establishing the ability to formally certify the ownership for all AI data elements  ,Attest ownership for all AI data elements  Establishing the ability to formally certify the ownership for all AI data elements  
872,OP7,Implement an enterprise business glossary,"Establishment of a business glossary to support proper metadata management and to standardize business terms throughout the organization. Establishing a business glossary should be done through the acquisition of one of many business glossary tools currently available on the market (eg., Collibra, Informatica, Alation, etc.). It is important to select the tool best fitted for the organization's context (eg., data volume, type / sensitivity of data, structured / unstructured data, data classification, etc.)","Implement an enterprise business glossary Establishment of a business glossary to support proper metadata management and to standardize business terms throughout the organization. Establishing a business glossary should be done through the acquisition of one of many business glossary tools currently available on the market (eg., Collibra, Informatica, Alation, etc.). It is important to select the tool best fitted for the organization's context (eg., data volume, type / sensitivity of data, structured / unstructured data, data classification, etc.)"
873,OP1739,Integrate workflows into the business glossary,,Integrate workflows into the business glossary 
874,OP1736,Create a roadmap for new business data elements,Creation of a roadmap to illustrate how new business data elements are integrated in the business glossary. This roadmap must demonstrate the different approvals that must be obtained prior to adding a new business term to the business glossary. This roadmap should be communicated to relevant business glossary stakeholders.,Create a roadmap for new business data elements Creation of a roadmap to illustrate how new business data elements are integrated in the business glossary. This roadmap must demonstrate the different approvals that must be obtained prior to adding a new business term to the business glossary. This roadmap should be communicated to relevant business glossary stakeholders.
875,OP2377,"Create a list of the business terms used ""In the lab"" and ""In the field""","Creation of a list of all business terms used by the project, ased on the data requirements for data used ""In the lab"" and ""In the field""","Create a list of the business terms used ""In the lab"" and ""In the field"" Creation of a list of all business terms used by the project, ased on the data requirements for data used ""In the lab"" and ""In the field"""
876,OP2378,Review and validate business terms related to a project,Validation of the list of business terms used by a project,Review and validate business terms related to a project Validation of the list of business terms used by a project
877,OP1718,Establish guidelines for business data element names and definitions ,Establishment of guidelines for the naming and definitions of business data elements to ensure that standardized business terms and definitions are achieved within the business glossary. These guidelines must set out best practices for the naming and definition of business terms such as ensuring that all names are unique and that abbreviations / acronyms are not used in definitions.,Establish guidelines for business data element names and definitions  Establishment of guidelines for the naming and definitions of business data elements to ensure that standardized business terms and definitions are achieved within the business glossary. These guidelines must set out best practices for the naming and definition of business terms such as ensuring that all names are unique and that abbreviations / acronyms are not used in definitions.
878,OP1715,Identify key business data elements,"Identification of key business data elements is crucial for the successful implementation of a business glossary. The criteria for identifying key business data elements should be based on the importance of the data element to the organization such as data used for financial or regulatory reporting, data introduced by or presented to company executives and data elements used in high-profile projects. ","Identify key business data elements Identification of key business data elements is crucial for the successful implementation of a business glossary. The criteria for identifying key business data elements should be based on the importance of the data element to the organization such as data used for financial or regulatory reporting, data introduced by or presented to company executives and data elements used in high-profile projects. "
